student_id,name
imt2022120,Nikhil Rao
imt2022121,Abhinav Verma
imt2022122,Priya Patel
imt2022123,Zoya Joshi
imt2022124,Krishna Sharma
imt2022125,Vikram Das
imt2022126,Dhruv Bhat
imt2022127,Gayatri Jain
imt2022128,Aishwarya Kaur
imt2022129,Gautam Sinha
imt2022130,Krishna Gowda
imt2022131,Arjun Yadav
imt2022132,Siddharth Deshpande
imt2022133,Vidya Gowda
imt2022134,Nithya Agarwal
imt2022135,Vinay Iyer
imt2022136,Gautam Jain
imt2022137,Harini Gupta
imt2022138,Ujwal Kulkarni
imt2022139,Bhavya Kaur
imt2022140,Chaitanya Khan
imt2022141,Rhea Jain
imt2022142,Swara Nayak
imt2022143,Meera Pai
imt2022144,Manasa Jain
imt2022145,Sameer Trivedi
imt2022146,Madhav Singh
imt2022147,Devika Sinha
imt2022148,Jatin Saxena
imt2022149,Pooja Gupta
imt2022150,Prerna Khan
imt2022151,Lakshmi Yadav
imt2022152,Lavanya Sinha
imt2022153,Lakshmi Sharma
imt2022154,Sourav Sinha
imt2022155,Pranav Patel
imt2022156,Manasa Varma
imt2022157,Zoya Mehta
imt2022158,Ritvik Jain
imt2022159,Nithya Mehta
imt2022160,Parth Reddy
imt2022161,Parth Bose
imt2022162,Harini Deshpande
imt2022163,Dhruv Subramanian
imt2022164,Madhav Sinha
imt2022165,Siddharth Bose
imt2022166,Vinay Patel
imt2022167,Karthik Bhat
imt2022168,Aarav Bhat
imt2022169,Devika Mukherjee
imt2022170,Bhuvan Singh
imt2022171,Anirudh Reddy
imt2022172,Rahul Chandra
imt2022173,Pranav Mukherjee
imt2022174,Vidya Varma
imt2022175,Sanjana Krishnan
imt2022176,Vikram Kaur
imt2022177,Ishita Prasad
imt2022178,Aarav Mukherjee
imt2022179,Rishabh Hegde
imt2022180,Harini Das
imt2022181,Meera Ghosh
imt2022182,Nikhil Iyer
imt2022183,Tanvi Chandra
imt2022184,Pranav Pai
imt2022185,Jatin Kumar
imt2022186,Nithya Mishra
imt2022187,Mihir Iyer
imt2022188,Shreya Joshi
imt2022189,Sahana Patel
imt2022190,Akshara Shetty
imt2022191,Priya Subramanian
imt2022192,Mihir Joshi
imt2022193,Ritvik Deshpande
imt2022194,Anirudh Yadav
imt2022195,Manasa Bose
imt2022196,Nithya Singh
imt2022197,Srinidhi Khan
imt2022198,Aishwarya Mehta
imt2022199,Tanvi Chatterjee
imt2022200,Darshan Patel
imt2022201,Anirudh Hegde
imt2022202,Gautam Kamath
imt2022203,Siddharth Saxena
imt2022204,Yashas Nair
imt2022205,Vinay Mehta
imt2022206,Rhea Kamath
imt2022207,Keerthana Chandra
imt2022208,Pranav Sinha
imt2022209,Neha Nayak
imt2022210,Nithya Pai
imt2022211,Ananya Mehta
imt2022212,Chaitanya Sharma
imt2022213,Bhuvan Chandra
imt2022214,Shreya Jain
imt2022215,Vidya Kulkarni
imt2022216,Chaitanya Mishra
imt2022217,Om Shetty
imt2022218,Ishaan Jain
imt2022219,Pooja Nayak
imt2022220,Naveen Rao
imt2022221,Zoya Menon
imt2022222,Meera Prasad
imt2022223,Om Bose
imt2022224,Om Subramanian
imt2022225,Vedant Pillai
imt2022226,Abhinav Sharma
imt2022227,Madhav Patel
imt2022228,Bhavya Nair
imt2022229,Aarav Yadav
imt2022230,Nikhil Sinha
imt2022231,Nithya Varma
imt2022232,Siddharth Kaur
imt2022233,Tanvi Nayak
imt2022234,Aishwarya Mishra
imt2022235,Nandini Banerjee
imt2022236,Meera Nair
imt2022237,Keerthana Dutta
imt2022238,Meera Trivedi
imt2022239,Darshan Mishra
imt2022240,Uday Ghosh
imt2022241,Ishaan Pillai
imt2022242,Harini Bhat
imt2022243,Shreya Kamath
imt2022244,Sanjana Jain
imt2022245,Sneha Mukherjee
imt2022246,Krishna Reddy
imt2022247,Lakshmi Kulkarni
imt2022248,Swara Mehta
imt2022249,Uday Pillai
imt2022250,Yashas Saxena
imt2022251,Gautam Patel
imt2022252,Devika Gupta
imt2022253,Gayatri Prasad
imt2022254,Vikram Gowda
imt2022255,Shreya Prasad
imt2022256,Gautam Kaur
imt2022257,Pooja Shetty
imt2022258,Om Gupta
imt2022259,Pranav Joshi
imt2022260,Vidya Nair
imt2022261,Uday Subramanian
imt2022262,Ritvik Krishnan
imt2022263,Krishna Srinivasan
imt2022264,Zoya Chatterjee
imt2022265,Vedant Mukherjee
imt2022266,Pooja Trivedi
imt2022267,Akshara Hegde
imt2022268,Vaishnavi Kaur
imt2022269,Devika Joshi
imt2022270,Lakshmi Srinivasan
imt2022271,Divya Joshi
imt2022272,Neha Chandra
imt2022273,Anirudh Kumar
imt2022274,Priya Pillai
imt2022275,Mihir Krishnan
imt2022276,Pranav Subramanian
imt2022277,Ritvik Joshi
imt2022278,Harini Menon
imt2022279,Gautam Trivedi
imt2022280,Sneha Menon
imt2022281,Akshara Pai
imt2022282,Karthik Jain
imt2022283,Manasa Sinha
imt2022284,Ramya Pai
imt2022285,Rahul Khan
imt2022286,Trisha Kulkarni
imt2022287,Trisha Shetty
imt2022288,Rhea Kulkarni
imt2022289,Pooja Kumar
imt2022290,Tanvi Pai
imt2022291,Tarun Sharma
imt2022292,Lavanya Reddy
imt2022293,Trisha Kaur
imt2022294,Sanjana Gupta
imt2022295,Vedant Singh
imt2022296,Amrita Pillai
imt2022297,Ishaan Deshpande
imt2022298,Aditi Mishra
imt2022299,Tarun Iyer
imt2022300,Bhavya Srinivasan
imt2022301,Charvi Mishra
imt2022302,Sanjana Kulkarni
imt2022303,Rhea Nair
imt2022304,Kavya Verma
imt2022305,Chaitanya Iyer
imt2022306,Lakshmi Prasad
imt2022307,Nithya Sinha
imt2022308,Nandini Singh
imt2022309,Arjun Subramanian
imt2022310,Charvi Gowda
imt2022311,Jatin Chandra
imt2022312,Anirudh Menon
imt2022313,Gayatri Shetty
imt2022314,Lavanya Rao
imt2022315,Anjali Rao
imt2022316,Kavya Kaur
imt2022317,Mihir Jain
imt2022318,Meera Verma
imt2022319,Gayatri Mukherjee
imt2022320,Shreya Saxena
imt2022321,Charvi Agarwal
imt2022322,Rhea Trivedi
imt2022323,Rahul Yadav
imt2022324,Rishabh Banerjee
imt2022325,Bhavya Dutta
imt2022326,Mihir Bose
imt2022327,Yashas Trivedi
imt2022328,Vidya Verma
imt2022329,Neha Krishnan
imt2022330,Rhea Srinivasan
imt2022331,Sameer Joshi
imt2022332,Nandini Das
imt2022333,Manasa Mehta
imt2022334,Pranav Singh
imt2022335,Ritvik Reddy
imt2022336,Sanjana Reddy
imt2022337,Amrita Hegde
imt2022338,Aditi Mehta
imt2022339,Sneha Nayak
imt2022340,Advait Gowda
imt2022341,Nikhil Verma
imt2022342,Mahika Trivedi
imt2022343,Siddharth Singh
imt2022344,Ramya Nayak
imt2022345,Rhea Kaur
imt2022346,Rhea Mukherjee
imt2022347,Vedant Chatterjee
imt2022348,Aarav Prasad
imt2022349,Lakshmi Sinha
imt2022350,Gayatri Nayak
imt2022351,Varun Varma
imt2022352,Vaishnavi Rao
imt2022353,Sourav Joshi
imt2022354,Nandini Joshi
imt2022355,Nithya Krishnan
imt2022356,Aishwarya Shetty
imt2022357,Lakshmi Khan
imt2022358,Sourav Deshpande
imt2022359,Vedant Hegde
imt2022360,Akshara Menon
imt2022361,Varun Trivedi
imt2022362,Vidya Pillai
imt2022363,Aarav Subramanian
imt2022364,Akshara Yadav
imt2022365,Srinidhi Rao
imt2022366,Om Mukherjee
imt2022367,Aditi Krishnan
imt2022368,Vidya Reddy
imt2022369,Naveen Hegde
imt2022370,Amrita Pai
imt2022371,Manasa Yadav
imt2022372,Mahika Kumar
imt2022373,Varun Krishnan
imt2022374,Lakshmi Mehta
imt2022375,Keerthana Mehta
imt2022376,Tarun Prasad
imt2022377,Anirudh Krishnan
imt2022378,Vedant Mehta
imt2022379,Gautam Kumar
imt2022380,Sourav Bhat
imt2022381,Ananya Nayak
imt2022382,Varun Banerjee
imt2022383,Tarun Chandra
imt2022384,Mihir Shetty
imt2022385,Devika Iyer
imt2022386,Akshara Nair
imt2022387,Rohan Jain
imt2022388,Keerthana Jain
imt2022389,Trisha Mehta
imt2022390,Pooja Dutta
imt2022391,Ishaan Khan
imt2022392,Karthik Chatterjee
imt2022393,Aishwarya Srinivasan
imt2022394,Parth Agarwal
imt2022395,Sneha Bhat
imt2022396,Amrita Menon
imt2022397,Kavya Gupta
imt2022398,Krishna Kulkarni
imt2022399,Zoya Pai
imt2022400,Kavya Srinivasan
imt2022401,Sahana Sharma
imt2022402,Anjali Yadav
imt2022403,Sneha Reddy
imt2022404,Rohan Hegde
imt2022405,Trisha Agarwal
imt2022406,Vikram Ghosh
imt2022407,Parth Yadav
imt2022408,Charvi Verma
imt2022409,Yashas Varma
imt2022410,Charvi Chatterjee
imt2022411,Uday Sinha
imt2022412,Zoya Chandra
imt2022413,Neha Prasad
imt2022414,Sourav Das
imt2022415,Keerthana Bhat
imt2022416,Ujwal Jain
imt2022417,Arjun Joshi
imt2022418,Meera Rao
imt2022419,Mihir Das
imt2022420,Sanjana Nair
imt2022421,Varun Hegde
imt2022422,Chaitanya Subramanian
imt2022423,Nikhil Subramanian
imt2022424,Sahana Nayak
imt2022425,Vikram Mishra
imt2022426,Sourav Menon
imt2022427,Mihir Mishra
imt2022428,Amrita Krishnan
imt2022429,Sneha Yadav
imt2022430,Abhinav Nayak
imt2022431,Uday Pai
imt2022432,Kavya Subramanian
imt2022433,Swara Kamath
imt2022434,Tarun Gupta
imt2022435,Keerthana Nair
imt2022436,Sahana Singh
imt2022437,Nandini Patel
imt2022438,Eshan Kulkarni
imt2022439,Anirudh Jain
imt2022440,Vidya Trivedi
imt2022441,Vedant Pai
imt2022442,Harini Shetty
imt2022443,Sameer Sharma
imt2022444,Yashas Pai
imt2022445,Gayatri Pillai
imt2022446,Rashmi Deshpande
imt2022447,Anirudh Iyer
imt2022448,Siddharth Iyer
imt2022449,Om Srinivasan
imt2022450,Lakshmi Varma
imt2022451,Harini Agarwal
imt2022452,Devika Kumar
imt2022453,Zoya Kumar
imt2022454,Aishwarya Hegde
imt2022455,Rishabh Kamath
imt2022456,Krishna Kaur
imt2022457,Sanjana Banerjee
imt2022458,Abhinav Singh
imt2022459,Pranav Nayak
imt2022460,Vikram Khan
imt2022461,Siddharth Shetty
imt2022462,Tarun Patel
imt2022463,Priya Chandra
imt2022464,Trisha Rao
imt2022465,Bhavya Iyer
imt2022466,Trisha Srinivasan
imt2022467,Vikram Kulkarni
imt2022468,Uday Das
imt2022469,Gautam Banerjee
imt2022470,Eshan Jain
imt2022471,Ritvik Hegde
imt2022472,Mahika Yadav
imt2022473,Aishwarya Sinha
imt2022474,Vikram Rao
imt2022475,Jatin Mishra
imt2022476,Nithya Dutta
imt2022477,Zoya Shetty
imt2022478,Uday Kaur
imt2022479,Manasa Trivedi
imt2022480,Rashmi Iyer
imt2022481,Parth Gowda
imt2022482,Divya Verma
imt2022483,Om Deshpande
imt2022484,Prerna Chandra
imt2022485,Srinidhi Chatterjee
imt2022486,Arjun Banerjee
imt2022487,Jatin Krishnan
imt2022488,Pooja Bose
imt2022489,Mahika Joshi
imt2022490,Pooja Nair
imt2022491,Amrita Bose
imt2022492,Mihir Ghosh
imt2022493,Arjun Varma
imt2022494,Keerthana Pillai
imt2022495,Rhea Joshi
imt2022496,Gayatri Joshi
imt2022497,Trisha Krishnan
imt2022498,Nandini Bose
imt2022499,Aishwarya Dutta
imt2022500,Om Gowda
imt2022999,Sameer Gupta
imt2023001,Lakshmi Subramanian
imt2023002,Mihir Kaur
imt2023003,Ananya Yadav
imt2023004,Sourav Hegde
imt2023005,Sameer Prasad
imt2023006,Darshan Kamath
imt2023007,Ishaan Das
imt2023008,Lavanya Pai
imt2023009,Rashmi Kumar
imt2023010,Om Kulkarni
imt2023011,Vedant Bose
imt2023012,Gayatri Kaur
imt2023013,Aishwarya Iyer
imt2023014,Pranav Khan
imt2023015,Anirudh Ghosh
imt2023016,Rahul Menon
imt2023017,Kavya Deshpande
imt2023018,Sahana Kaur
imt2023019,Mahika Das
imt2023020,Krishna Gupta
imt2023021,Zoya Kamath
imt2023022,Rashmi Kaur
imt2023023,Karthik Khan
imt2023024,Vaishnavi Hegde
imt2023025,Swara Das
imt2023026,Bhavya Deshpande
imt2023027,Uday Sharma
imt2023028,Tarun Nair
imt2023029,Darshan Yadav
imt2023030,Ishita Kumar
imt2023031,Trisha Saxena
imt2023032,Karthik Yadav
imt2023033,Charvi Kumar
imt2023034,Mihir Gupta
imt2023035,Madhav Gowda
imt2023036,Aishwarya Pillai
imt2023037,Rohan Reddy
imt2023038,Advait Gupta
imt2023039,Jatin Subramanian
imt2023040,Parth Joshi
imt2023041,Meera Singh
imt2023042,Siddharth Mehta
imt2023043,Vidya Chatterjee
imt2023044,Divya Varma
imt2023045,Tarun Jain
imt2023046,Rishabh Rao
imt2023047,Varun Subramanian
imt2023048,Rhea Chandra
imt2023049,Parth Khan
imt2023050,Naveen Pillai
imt2023051,Rohan Gowda
imt2023052,Shreya Subramanian
imt2023053,Madhav Trivedi
imt2023054,Aishwarya Bhat
imt2023055,Anjali Pillai
imt2023056,Anirudh Banerjee
imt2023057,Lavanya Kulkarni
imt2023058,Naveen Sinha
imt2023059,Mahika Iyer
imt2023060,Akshara Saxena
imt2023061,Om Pillai
imt2023062,Mahika Banerjee
imt2023063,Ritvik Varma
imt2023064,Pranav Menon
imt2023065,Gautam Pai
imt2023066,Arjun Pai
imt2023067,Vinay Shetty
imt2023068,Aishwarya Prasad
imt2023069,Nandini Dutta
imt2023070,Ananya Bhat
imt2023071,Anirudh Bose
imt2023072,Nithya Saxena
imt2023073,Varun Sinha
imt2023074,Pooja Banerjee
imt2023075,Zoya Jain
imt2023076,Swara Chatterjee
imt2023077,Bhuvan Bhat
imt2023078,Prerna Das
imt2023079,Arjun Das
imt2023080,Nithya Joshi
imt2023081,Sameer Chandra
imt2023082,Tanvi Srinivasan
imt2023083,Advait Nayak
imt2023084,Manasa Iyer
imt2023085,Lakshmi Joshi
imt2023086,Naveen Yadav
imt2023087,Om Saxena
imt2023088,Parth Varma
imt2023089,Sourav Rao
imt2023090,Gayatri Srinivasan
imt2023091,Vikram Jain
imt2023092,Parth Subramanian
imt2023093,Krishna Menon
imt2023094,Prerna Patel
imt2023095,Uday Chatterjee
imt2023096,Rahul Bose
imt2023097,Ramya Banerjee
imt2023098,Keerthana Singh
imt2023099,Devika Saxena
imt2023100,Ritvik Das
imt2024001,Chaitanya Gowda
imt2024002,Aarav Pillai
imt2024003,Aishwarya Subramanian
imt2024004,Pooja Deshpande
imt2024005,Ramya Sinha
imt2024006,Ritvik Mukherjee
imt2024007,Sameer Nayak
imt2024008,Divya Krishnan
imt2024009,Devika Sharma
imt2024010,Priya Trivedi
imt2024011,Naveen Kaur
imt2024012,Sanjana Verma
imt2024013,Devika Agarwal
imt2024014,Ritvik Rao
imt2024015,Gautam Agarwal
imt2024016,Vedant Deshpande
imt2024017,Bhavya Ghosh
imt2024018,Rahul Krishnan
imt2024019,Ishita Bose
imt2024020,Vidya Mukherjee
imt2024021,Bhuvan Ghosh
imt2024022,Keerthana Trivedi
imt2024023,Uday Gowda
imt2024024,Kavya Dutta
imt2024025,Rahul Varma
imt2024026,Sanjana Deshpande
imt2024027,Vidya Subramanian
imt2024028,Rhea Iyer
imt2024029,Gautam Pillai
imt2024030,Bhuvan Trivedi
imt2024031,Om Khan
imt2024032,Pooja Agarwal
imt2024033,Lakshmi Deshpande
imt2024034,Srinidhi Deshpande
imt2024035,Madhav Gupta
imt2024036,Rahul Sinha
imt2024037,Ananya Nair
imt2024038,Neha Hegde
imt2024039,Nikhil Kamath
imt2024040,Uday Menon
imt2024041,Divya Mukherjee
imt2024042,Neha Srinivasan
imt2024043,Chaitanya Varma
imt2024044,Sourav Agarwal
imt2024045,Om Krishnan
imt2024046,Advait Khan
imt2024047,Nithya Kaur
imt2024048,Sahana Saxena
imt2024049,Swara Iyer
imt2024050,Karthik Patel
imt2024051,Chaitanya Agarwal
imt2024052,Bhuvan Kamath
imt2024053,Krishna Agarwal
imt2024054,Shreya Bhat
imt2024055,Parth Hegde
imt2024056,Krishna Saxena
imt2024057,Rohan Mukherjee
imt2024058,Rohan Pillai
imt2024059,Shreya Bose
imt2024060,Swara Deshpande
imt2024061,Pranav Srinivasan
imt2024062,Pranav Jain
imt2024063,Ananya Menon
imt2024064,Vinay Saxena
imt2024065,Vaishnavi Subramanian
imt2024066,Manasa Shetty
imt2024067,Bhuvan Chatterjee
imt2024068,Varun Chatterjee
imt2024069,Jatin Bose
imt2024070,Tarun Dutta
imt2024071,Ritvik Srinivasan
imt2024072,Neha Mishra
imt2024073,Dhruv Iyer
imt2024074,Ishita Pillai
imt2024075,Yashas Chatterjee
imt2024076,Karthik Trivedi
imt2024077,Tanvi Singh
imt2024078,Lakshmi Nair
imt2024079,Pooja Varma
imt2024080,Trisha Sinha
imt2024081,Mahika Verma
imt2024082,Bhuvan Menon
imt2024083,Nandini Sinha
imt2024084,Vinay Hegde
imt2024085,Ramya Iyer
imt2024086,Harini Jain
imt2024087,Anirudh Singh
imt2024088,Bhuvan Gowda
imt2024089,Sahana Srinivasan
imt2024090,Naveen Krishnan
imt2024091,Akshara Reddy
imt2024092,Harini Srinivasan
imt2024093,Chaitanya Deshpande
imt2024094,Neha Reddy
imt2024095,Meera Nayak
imt2024096,Tanvi Khan
imt2024097,Varun Gowda
imt2024098,Anjali Jain
imt2024099,Advait Singh
imt2024100,Chaitanya Nayak
mt2023001,Dhruv Trivedi
mt2023002,Arjun Bose
mt2023003,Anjali Sharma
mt2023004,Rahul Trivedi
mt2023005,Lavanya Banerjee
mt2023006,Divya Deshpande
mt2023007,Ishita Kulkarni
mt2023008,Anirudh Sinha
mt2023009,Anirudh Gupta
mt2023010,Meera Gupta
mt2023011,Ishaan Banerjee
mt2023012,Abhinav Prasad
mt2023013,Sanjana Bhat
mt2023014,Manasa Chatterjee
mt2023015,Jatin Khan
mt2023016,Rishabh Gupta
mt2023017,Arjun Mukherjee
mt2023018,Om Iyer
mt2023019,Trisha Mukherjee
mt2023020,Vinay Dutta
mt2023021,Priya Kaur
mt2023022,Nikhil Srinivasan
mt2023023,Pranav Shetty
mt2023024,Sanjana Nayak
mt2023025,Jatin Pai
mt2023026,Pooja Patel
mt2023027,Lakshmi Gowda
mt2023028,Keerthana Mishra
mt2023029,Vinay Subramanian
mt2023030,Nandini Kaur
mt2023031,Akshara Sharma
mt2023032,Vidya Kaur
mt2023033,Darshan Gupta
mt2023034,Kavya Krishnan
mt2023035,Vedant Mishra
mt2023036,Zoya Mishra
mt2023037,Pranav Varma
mt2023038,Devika Hegde
mt2023039,Nandini Subramanian
mt2023040,Darshan Subramanian
mt2023041,Aishwarya Nair
mt2023042,Lakshmi Pillai
mt2023043,Karthik Mukherjee
mt2023044,Aarav Menon
mt2023045,Nithya Khan
mt2023046,Neha Saxena
mt2023047,Trisha Menon
mt2023048,Mihir Mukherjee
mt2023049,Ujwal Mukherjee
mt2023050,Vinay Gowda
